date,close_price_NEIROUSDT,return_NEIROUSDT,signal_NEIROUSDT,position_NEIROUSDT,signal_return_NEIROUSDT,cum_return_NEIROUSDT,cum_signal_return_NEIROUSDT
2024-11-17 00:00:00,0.002288,0.120854358,0,0.5,0.060427179,5.373259053,2.004880799
2024-11-18 00:00:00,0.0021052,-0.079895105,0,0.5,-0.039947552,4.864066852,1.884843166
2024-11-19 00:00:00,0.0020193,-0.040803724,0,0.5,-0.020401862,4.624791086,1.825986993
2024-11-20 00:00:00,0.0017247,-0.145892141,0,0.5,-0.07294607,3.804178273,1.619842347
2024-11-21 00:00:00,0.0019194,0.112889198,0,0.5,0.056444599,4.346518106,1.767718298
2024-11-22 00:00:00,0.001808,-0.058038971,0,0.5,-0.029019485,4.036211699,1.687400538
2024-11-23 00:00:00,0.0018135,0.003042035,0,0.5,0.001521018,4.051532033,1.691488121
2024-11-24 00:00:00,0.001795,-0.010201268,0,0.5,-0.005100634,4,1.677759825
2024-11-25 00:00:00,0.0018555,0.033704735,0,0.5,0.016852368,4.168523677,1.722886418
2024-11-26 00:00:00,0.0016898,-0.089302075,0,0.5,-0.044651037,3.706963788,1.601306715
2024-11-27 00:00:00,0.0017256,0.021185939,0,0.5,0.01059297,3.806685237,1.628862278
2024-11-28 00:00:00,0.0017721,0.026947149,0,0.5,0.013473574,3.936211699,1.664282449
2024-11-29 00:00:00,0.0019386,0.093956323,0,0.5,0.046978162,4.4,1.78944554
2024-11-30 00:00:00,0.0018707,-0.035025276,0,0.5,-0.017512638,4.21086351,1.740594991
2024-12-01 00:00:00,0.0020695,0.10627038,0,0.5,0.05313519,4.764623955,1.886217026
2024-12-02 00:00:00,0.0018328,-0.114375453,0,0.5,-0.057187727,4.105292479,1.721160836
2024-12-03 00:00:00,0.0016892,-0.078350065,0,0.5,-0.039175033,3.705292479,1.614559271
2024-12-04 00:00:00,0.0017345,0.026817428,0,0.5,0.013408714,3.831476323,1.649617149
2024-12-05 00:00:00,0.0017581,0.013606227,0,0.5,0.006803113,3.897214485,1.667642795
2024-12-06 00:00:00,0.0017893,0.017746431,0,0.5,0.008873215,3.984122563,1.691313364
2024-12-07 00:00:00,0.0019288,0.077963449,0,0.5,0.038981725,4.37270195,1.796225401
2024-12-08 00:00:00,0.0018968,-0.016590626,0,0.5,-0.008295313,4.28356546,1.773029835
2024-12-09 00:00:00,0.0017492,-0.077815268,0,0.5,-0.038907634,3.872423398,1.665137806
2024-12-10 00:00:00,0.001553,-0.112165561,0,0.5,-0.056082781,3.325905292,1.515669467
2024-12-11 00:00:00,0.001744,0.122987766,0,0.5,0.061493883,3.857938719,1.67036775
2024-12-12 00:00:00,0.0016699,-0.042488532,0,0.5,-0.021244266,3.651532033,1.613637747
2024-12-13 00:00:00,0.0017173,0.028384933,0,0.5,0.014192467,3.78356546,1.650731714
2024-12-14 00:00:00,0.0016216,-0.055727013,0,0.5,-0.027863507,3.516991643,1.576873033
2024-12-15 00:00:00,0.0016537,0.019795264,0,0.5,0.009897632,3.606406685,1.602377974
2024-12-16 00:00:00,0.0015604,-0.056418939,0,0.5,-0.02820947,3.346518106,1.528966271
2024-12-17 00:00:00,0.0015315,-0.018520892,0,0.5,-0.009260446,3.266016713,1.505546916
