date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-06-09 00:00:00,7.1069,0.016956671,0,0.5,0.008478336,1.620538348,0.684550767
2024-06-10 00:00:00,7.2218,0.016167387,0,0.5,0.008083693,1.662905605,0.698168159
2024-06-11 00:00:00,6.9357,-0.039616162,0,0.5,-0.019808081,1.557411504,0.664530706
2024-06-12 00:00:00,7.4548,0.074844644,0,0.5,0.037422322,1.748820059,0.726821311
2024-06-13 00:00:00,7.7665,0.041811987,0,0.5,0.020905993,1.863753687,0.762922226
2024-06-14 00:00:00,8.1849,0.053872401,0,0.5,0.0269362,2.018030973,0.810408652
2024-06-15 00:00:00,7.9075,-0.033891679,0,0.5,-0.016945839,1.915744838,0.779729758
2024-06-16 00:00:00,7.939,0.00398356,0,0.5,0.00199178,1.927359882,0.783274588
2024-06-17 00:00:00,7.6898,-0.031389344,0,0.5,-0.015694672,1.835471976,0.755286678
2024-06-18 00:00:00,7.1118,-0.075164504,0,0.5,-0.037582252,1.622345133,0.689319052
2024-06-19 00:00:00,6.9503,-0.022708738,0,0.5,-0.011354369,1.562794985,0.670137901
2024-06-20 00:00:00,7.1397,0.027250622,0,0.5,0.013625311,1.632632743,0.692894049
2024-06-21 00:00:00,7.0966,-0.006036668,0,0.5,-0.003018334,1.616740413,0.687784329
2024-06-22 00:00:00,7.338,0.034016289,0,0.5,0.017008145,1.705752212,0.71649041
2024-06-23 00:00:00,7.4988,0.021913328,0,0.5,0.010956664,1.765044248,0.735297418
2024-06-24 00:00:00,7.4932,-0.000746786,0,0.5,-0.000373393,1.762979351,0.73464947
2024-06-25 00:00:00,7.4892,-0.000533817,0,0.5,-0.000266909,1.761504425,0.734186477
2024-06-26 00:00:00,7.6312,0.018960637,0,0.5,0.009480318,1.813864307,0.750627117
2024-06-27 00:00:00,7.7799,0.019485795,0,0.5,0.009742898,1.86869469,0.767683298
2024-06-28 00:00:00,7.4946,-0.036671423,0,0.5,-0.018335711,1.763495575,0.735271567
2024-06-29 00:00:00,7.608,0.015130894,1,1,0.007565447,1.805309735,0.748399673
2024-06-30 00:00:00,7.6603,0.006874343,1,1,0.006874343,1.824594395,0.760418771
2024-07-01 00:00:00,7.7349,0.009738522,1,1,0.009738522,1.85210177,0.777562648
2024-07-02 00:00:00,8.1016,0.047408499,1,1,0.047408499,1.987315634,0.861834225
2024-07-03 00:00:00,7.8745,-0.0280315,1,1,-0.0280315,1.903576696,0.809644219
2024-07-04 00:00:00,7.1172,-0.096171185,0,0.5,-0.096171185,1.624336283,0.63560859
2024-07-05 00:00:00,7.218,0.014162873,1,1,0.007081437,1.661504425,0.647191048
2024-07-06 00:00:00,7.5765,0.049667498,1,1,0.049667498,1.79369469,0.729002906
2024-07-07 00:00:00,7.0448,-0.070177523,0,0.5,-0.070177523,1.597640118,0.607665765
2024-07-08 00:00:00,7.1121,0.009553146,1,1,0.004776573,1.622455752,0.615344898
