date,close_price_1000SHIBUSDT,return_1000SHIBUSDT,signal_1000SHIBUSDT,position_1000SHIBUSDT,signal_return_1000SHIBUSDT,cum_return_1000SHIBUSDT,cum_signal_return_1000SHIBUSDT
2021-09-20 00:00:00,0.00701,-0.133498146,-1,0,0,-0.798788714,-0.533669246
2021-09-21 00:00:00,0.006874,-0.019400856,-1,0,0,-0.802692385,-0.533669246
2021-09-22 00:00:00,0.007243,0.053680535,-1,0,0,-0.792100807,-0.533669246
2021-09-23 00:00:00,0.007635,0.05412122,0,0.5,0,-0.780849048,-0.533669246
2021-09-24 00:00:00,0.007364,-0.035494434,-1,0,-0.017747217,-0.788627687,-0.541945319
2021-09-25 00:00:00,0.007315,-0.006653992,0,0.5,0,-0.790034157,-0.541945319
2021-09-26 00:00:00,0.007096,-0.029938483,-1,0,-0.014969241,-0.796320216,-0.54880205
2021-09-27 00:00:00,0.006974,-0.017192785,-1,0,0,-0.799822039,-0.54880205
2021-09-28 00:00:00,0.006975,0.00014339,-1,0,0,-0.799793335,-0.54880205
2021-09-29 00:00:00,0.007012,0.005304659,0,0.5,0,-0.798731307,-0.54880205
2021-09-30 00:00:00,0.00721,0.028237307,0,0.5,0.014118654,-0.793048021,-0.542431742
2021-10-01 00:00:00,0.0077,0.067961165,0,0.5,0.033980583,-0.778983323,-0.526883307
2021-10-02 00:00:00,0.007879,0.023246753,0,0.5,0.011623377,-0.773845403,-0.521384093
2021-10-03 00:00:00,0.008543,0.084274654,1,1,0.042137327,-0.754786303,-0.501216498
2021-10-04 00:00:00,0.013489,0.578953529,1,1,0.578953529,-0.612818967,-0.212444029
2021-10-05 00:00:00,0.017318,0.283860924,1,1,0.283860924,-0.502913402,0.011112336
2021-10-06 00:00:00,0.027716,0.600415752,1,1,0.600415752,-0.204454778,0.61820011
2021-10-07 00:00:00,0.022936,-0.172463559,1,1,-0.172463559,-0.341657338,0.33911956
2021-10-08 00:00:00,0.027221,0.186824206,1,1,0.186824206,-0.218662993,0.589299509
2021-10-09 00:00:00,0.026689,-0.019543735,1,1,-0.019543735,-0.233933236,0.558238661
2021-10-10 00:00:00,0.026143,-0.020457867,1,1,-0.020457867,-0.249605327,0.526360423
2021-10-11 00:00:00,0.030657,0.172665723,1,1,0.172665723,-0.120037889,0.789910549
2021-10-12 00:00:00,0.029019,-0.053429886,1,1,-0.053429886,-0.167054163,0.694275833
2021-10-13 00:00:00,0.029083,0.002205452,1,1,0.002205452,-0.165217142,0.698012477
2021-10-14 00:00:00,0.027456,-0.055943335,1,1,-0.055943335,-0.211917678,0.603019997
2021-10-15 00:00:00,0.025272,-0.079545455,1,1,-0.079545455,-0.274606045,0.475507042
2021-10-16 00:00:00,0.025704,0.017094017,1,1,0.017094017,-0.262206148,0.500729385
2021-10-17 00:00:00,0.027769,0.080337691,1,1,0.080337691,-0.202933494,0.621294518
2021-10-18 00:00:00,0.028654,0.031870071,1,1,0.031870071,-0.177530928,0.672965289
2021-10-19 00:00:00,0.028039,-0.021462972,1,1,-0.021462972,-0.195183559,0.637058482
2021-10-20 00:00:00,0.029257,0.043439495,1,1,0.043439495,-0.160222739,0.708171476
2021-10-21 00:00:00,0.027488,-0.060464162,1,1,-0.060464162,-0.210999168,0.604888318
2021-10-22 00:00:00,0.027977,0.017789581,1,1,0.017789581,-0.196963173,0.633438609
2021-10-23 00:00:00,0.033907,0.211959824,1,1,0.211959824,-0.026751629,0.979661969
2021-10-24 00:00:00,0.036084,0.064205031,1,1,0.064205031,0.035735813,1.106766228
2021-10-25 00:00:00,0.042305,0.172403281,1,1,0.172403281,0.214300066,1.469979638
2021-10-26 00:00:00,0.047936,0.133104834,1,1,0.133104834,0.375929275,1.798745868
2021-10-27 00:00:00,0.079004,0.648114152,1,1,0.648114152,1.26768851,3.612652674
2021-10-28 00:00:00,0.068661,-0.130917422,1,1,-0.130917422,0.970808577,3.008776077
2021-10-29 00:00:00,0.074823,0.08974527,1,1,0.08974527,1.147679325,3.36854477
2021-10-30 00:00:00,0.065317,-0.127046496,1,1,-0.127046496,0.874824191,2.813536462
2021-10-31 00:00:00,0.066938,0.024817429,1,1,0.024817429,0.921352507,2.908178632
2021-11-01 00:00:00,0.071552,0.068929457,1,1,0.068929457,1.053790292,3.177567264
2021-11-02 00:00:00,0.069211,-0.032717464,1,1,-0.032717464,0.986595482,3.040887856
2021-11-03 00:00:00,0.055573,-0.197049602,1,1,-0.197049602,0.595137633,2.244632513
2021-11-04 00:00:00,0.049401,-0.111061127,1,1,-0.111061127,0.41797985,1.88427997
2021-11-05 00:00:00,0.062506,0.265278031,1,1,0.265278031,0.794138753,2.64941608
2021-11-06 00:00:00,0.058701,-0.060874156,1,1,-0.060874156,0.68492207,2.427260956
2021-11-07 00:00:00,0.056998,-0.029011431,1,1,-0.029011431,0.63604007,2.327831212
2021-11-08 00:00:00,0.055278,-0.030176497,1,1,-0.030176497,0.586670111,2.227408922
2021-11-09 00:00:00,0.05493,-0.006295452,1,1,-0.006295452,0.576681305,2.207090924
2021-11-10 00:00:00,0.05026,-0.085017295,1,1,-0.085017295,0.442636126,1.93443273
2021-11-11 00:00:00,0.05658,0.12574612,1,1,0.12574612,0.624042022,2.30342626
2021-11-12 00:00:00,0.052386,-0.074125133,1,1,-0.074125133,0.503659692,2.058559351
2021-11-13 00:00:00,0.051689,-0.013305082,1,1,-0.013305082,0.483653377,2.017864969
2021-11-14 00:00:00,0.0532,0.029232525,1,1,0.029232525,0.527024312,2.106084784
2021-11-15 00:00:00,0.053494,0.005526316,1,1,0.005526316,0.53546313,2.123249989
2021-11-16 00:00:00,0.048318,-0.096758515,1,1,-0.096758515,0.386893998,1.821048958
2021-11-17 00:00:00,0.048174,-0.002980256,1,1,-0.002980256,0.382760699,1.812641511
2021-11-18 00:00:00,0.042506,-0.117656827,1,1,-0.117656827,0.220069462,1.481715034
2021-11-19 00:00:00,0.048513,0.141321225,1,1,0.141321225,0.392491174,1.832434043
2021-11-20 00:00:00,0.047689,-0.016985138,1,1,-0.016985138,0.368839519,1.78432476
2021-11-21 00:00:00,0.04414,-0.074419677,1,1,-0.074419677,0.266970923,1.577116209
2021-11-22 00:00:00,0.043306,-0.018894427,1,1,-0.018894427,0.243032234,1.528423076
