date,close_price_SUIUSDT,return_SUIUSDT,signal_SUIUSDT,position_SUIUSDT,signal_return_SUIUSDT,cum_return_SUIUSDT,cum_signal_return_SUIUSDT
2023-09-20 00:00:00,0.4463,-0.016743776,-1,0,0,-0.679658341,-0.379511354
2023-09-21 00:00:00,0.4398,-0.014564194,-1,0,0,-0.684323859,-0.379511354
2023-09-22 00:00:00,0.4446,0.010914052,-1,0,0,-0.680878553,-0.379511354
2023-09-23 00:00:00,0.4458,0.002699055,-1,0,0,-0.680017227,-0.379511354
2023-09-24 00:00:00,0.4387,-0.015926424,-1,0,0,-0.685113408,-0.379511354
2023-09-25 00:00:00,0.4426,0.008889902,-1,0,0,-0.682314097,-0.379511354
2023-09-26 00:00:00,0.4383,-0.009715319,-1,0,0,-0.685400517,-0.379511354
2023-09-27 00:00:00,0.4371,-0.002737851,-1,0,0,-0.686261843,-0.379511354
2023-09-28 00:00:00,0.4472,0.023106841,-1,0,0,-0.679012346,-0.379511354
2023-09-29 00:00:00,0.4787,0.070438283,-1,0,0,-0.656402527,-0.379511354
2023-09-30 00:00:00,0.4698,-0.01859202,-1,0,0,-0.662790698,-0.379511354
2023-10-01 00:00:00,0.5068,0.078756918,0,0.5,0,-0.636233132,-0.379511354
2023-10-02 00:00:00,0.4659,-0.080702447,-1,0,-0.040351223,-0.665590009,-0.40454883
2023-10-03 00:00:00,0.4442,-0.046576519,-1,0,0,-0.681165662,-0.40454883
2023-10-04 00:00:00,0.4415,-0.006078343,-1,0,0,-0.683103646,-0.40454883
2023-10-05 00:00:00,0.4341,-0.016761042,-1,0,0,-0.688415159,-0.40454883
2023-10-06 00:00:00,0.4432,0.020962912,-1,0,0,-0.681883434,-0.40454883
2023-10-07 00:00:00,0.4424,-0.001805054,-1,0,0,-0.682457651,-0.40454883
2023-10-08 00:00:00,0.4375,-0.011075949,-1,0,0,-0.685974734,-0.40454883
2023-10-09 00:00:00,0.4157,-0.049828571,-1,0,0,-0.701622165,-0.40454883
2023-10-10 00:00:00,0.4158,0.000240558,-1,0,0,-0.701550388,-0.40454883
2023-10-11 00:00:00,0.4096,-0.014911015,-1,0,0,-0.706000574,-0.40454883
2023-10-12 00:00:00,0.4071,-0.006103516,-1,0,0,-0.707795004,-0.40454883
2023-10-13 00:00:00,0.4133,0.015229673,-1,0,0,-0.703344818,-0.40454883
2023-10-14 00:00:00,0.4155,0.00532301,-1,0,0,-0.701765719,-0.40454883
2023-10-15 00:00:00,0.4104,-0.012274368,-1,0,0,-0.705426357,-0.40454883
2023-10-16 00:00:00,0.4101,-0.000730994,-1,0,0,-0.705641688,-0.40454883
2023-10-17 00:00:00,0.3804,-0.072421361,-1,0,0,-0.726959518,-0.40454883
2023-10-18 00:00:00,0.3821,0.00446898,-1,0,0,-0.725739305,-0.40454883
2023-10-19 00:00:00,0.3699,-0.031928814,-1,0,0,-0.734496124,-0.40454883
