date,close_price_SOLUSDT,return_SOLUSDT,signal_SOLUSDT,position_SOLUSDT,signal_return_SOLUSDT,cum_return_SOLUSDT,cum_signal_return_SOLUSDT
2023-09-14 00:00:00,18.835,0.02425363,-1,0,0,4.766816693,72.12583196
2023-09-15 00:00:00,19.136,0.015980887,-1,0,0,4.858975537,72.12583196
2023-09-16 00:00:00,19.112,-0.001254181,-1,0,0,4.851627323,72.12583196
2023-09-17 00:00:00,18.798,-0.016429468,-1,0,0,4.755488197,72.12583196
2023-09-18 00:00:00,19.628,0.044153633,0,0.5,0,5.009613913,72.12583196
2023-09-19 00:00:00,20.019,0.019920522,0,0.5,0.009960261,5.129328557,72.85418432
2023-09-20 00:00:00,20.278,0.012937709,0,0.5,0.006468855,5.208628027,73.3319363
2023-09-21 00:00:00,19.442,-0.041226945,0,0.5,-0.020613473,4.952665258,71.79969696
2023-09-22 00:00:00,19.417,-0.001285876,0,0.5,-0.000642938,4.945010869,71.75289127
2023-09-23 00:00:00,19.472,0.002832569,0,0.5,0.001416285,4.961850525,71.85593008
2023-09-24 00:00:00,19.351,-0.006214051,-1,0,-0.003107025,4.924803282,71.62956485
2023-09-25 00:00:00,19.381,0.001550307,-1,0,0,4.933988549,71.62956485
2023-09-26 00:00:00,19.016,-0.018832878,-1,0,0,4.822234469,71.62956485
2023-09-27 00:00:00,19.12,0.005469079,-1,0,0,4.854076728,71.62956485
2023-09-28 00:00:00,19.948,0.043305439,-1,0,0,5.107590092,71.62956485
2023-09-29 00:00:00,20.26,0.015640666,-1,0,0,5.203116867,71.62956485
2023-09-30 00:00:00,21.348,0.053701876,1,1,0,5.536235878,71.62956485
2023-10-01 00:00:00,23.873,0.118278059,1,1,0.118278059,6.309329169,80.22004879
2023-10-02 00:00:00,23.366,-0.021237381,1,1,-0.021237381,6.15409816,78.49514766
2023-10-03 00:00:00,23.594,0.009757768,1,1,0.009757768,6.223906188,79.27084284
2023-10-04 00:00:00,23.106,-0.020683225,1,1,-0.020683225,6.074492514,77.61058298
2023-10-05 00:00:00,22.682,-0.018350212,1,1,-0.018350212,5.944674076,76.16806211
2023-10-06 00:00:00,23.391,0.031258266,1,1,0.031258266,6.161752549,78.58020195
2023-10-07 00:00:00,23.279,-0.004788166,1,1,-0.004788166,6.127460886,78.19915871
2023-10-08 00:00:00,23.204,-0.003221788,1,1,-0.003221788,6.104497719,77.94399582
2023-10-09 00:00:00,22.077,-0.048569212,1,1,-0.048569212,5.759437862,74.10974813
2023-10-10 00:00:00,22.107,0.00135888,1,1,0.00135888,5.768623129,74.21181329
2023-10-11 00:00:00,21.998,-0.004930565,1,1,-0.004930565,5.735249992,73.84097656
2023-10-12 00:00:00,21.274,-0.032912083,1,1,-0.032912083,5.513578886,71.37780413
2023-10-13 00:00:00,21.829,0.026088183,1,1,0.026088183,5.683506323,73.26600951
2023-10-14 00:00:00,21.983,0.007054835,1,1,0.007054835,5.730657359,73.78994398
2023-10-15 00:00:00,21.918,-0.00295683,1,1,-0.00295683,5.710755947,73.56880281
2023-10-16 00:00:00,23.939,0.092207318,1,1,0.092207318,6.329536756,80.44459213
2023-10-17 00:00:00,23.93,-0.000375956,1,1,-0.000375956,6.326781176,80.41397259
2023-10-18 00:00:00,23.408,-0.021813623,1,1,-0.021813623,6.166957533,78.63803888
2023-10-19 00:00:00,24.91,0.064166097,1,1,0.064166097,6.626833226,83.74810101
2023-10-20 00:00:00,27.01,0.084303493,1,1,0.084303493,7.269801904,90.89266191
2023-10-21 00:00:00,29.312,0.085227693,1,1,0.085227693,7.974618046,98.72446153
2023-10-22 00:00:00,29.031,-0.009586517,1,1,-0.009586517,7.888582713,97.76845124
2023-10-23 00:00:00,31.902,0.098894285,1,1,0.098894285,8.767612749,107.5360866
2023-10-24 00:00:00,30.157,-0.054698765,1,1,-0.054698765,8.233336395,101.5992968
2023-10-25 00:00:00,32.446,0.075902775,1,1,0.075902775,8.934172254,109.3868681
2023-10-26 00:00:00,32.77,0.009985823,1,1,0.009985823,9.033373136,110.4891718
2023-10-27 00:00:00,31.739,-0.031461703,1,1,-0.031461703,8.717706133,106.9815326
2023-10-28 00:00:00,31.614,-0.003938372,1,1,-0.003938372,8.679434188,106.5562612
2023-10-29 00:00:00,32.826,0.038337445,1,1,0.038337445,9.050518968,110.6796934
2023-10-30 00:00:00,34.958,0.064948516,1,1,0.064948516,9.703285264,117.9331238
2023-10-31 00:00:00,38.372,0.097660049,1,1,0.097660049,10.74856863,129.5481386
2023-11-01 00:00:00,41.204,0.073803815,1,1,0.073803815,11.61565782,139.1830893
2023-11-02 00:00:00,40.251,-0.023128822,1,1,-0.023128822,11.32387251,135.9408195
2023-11-03 00:00:00,39.497,-0.018732454,1,1,-0.018732454,11.09301614,133.3755819
2023-11-04 00:00:00,42.422,0.074056257,1,1,0.074056257,11.98857965,143.3269346
2023-11-05 00:00:00,41.167,-0.029583707,1,1,-0.029583707,11.60432932,139.0572089
2023-11-06 00:00:00,42.181,0.02463138,1,1,0.02463138,11.91479134,142.5070112
2023-11-07 00:00:00,42.976,0.018847348,1,1,0.018847348,12.15820091,145.2117378
2023-11-08 00:00:00,43.142,0.003862621,1,1,0.003862621,12.20902606,145.7764983
2023-11-09 00:00:00,45.305,0.050136758,1,1,0.050136758,12.87128379,153.1353961
2023-11-10 00:00:00,56.679,0.251053968,1,1,0.251053968,16.35372463,191.8316988
2023-11-11 00:00:00,56.409,-0.004763669,1,1,-0.004763669,16.27105722,190.9131124
