date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
3/2/2024,62039.9,3424.43,130.184,-0.006258149,-0.003315075,0.005623532,1,1,1,0.141730388,0.168573446,0.104037287,-0.000896286,-0.000565031,0.000585228,-0.000876,3.943597
3/3/2024,63178.5,3491.77,130.304,0.018352705,0.019664587,0.000921772,1,1,1,0.142029358,0.169286424,0.104482673,0.002601136,0.003314927,9.59E-05,0.006012,3.973318
3/4/2024,68296.4,3629.72,133.45,0.081006988,0.039507184,0.024143541,1,1,1,0.127929589,0.16795414,0.106342259,0.01150537,0.00668803,0.002522582,0.020716,4.076345
3/5/2024,63747.4,3555.43,125.358,-0.066606732,-0.020467143,-0.060636943,1,1,1,0.113082303,0.161942973,0.100445744,-0.008520972,-0.003437541,-0.006448269,-0.018407,3.982905
3/6/2024,66128.1,3822.36,130.916,0.037345837,0.075076714,0.044337019,1,1,1,0.112308773,0.144909518,0.098939926,0.004223153,0.012158146,0.004453465,0.020835,4.086724
3/7/2024,66870,3871.69,143.997,0.011219134,0.012905639,0.099919032,1,1,1,0.112352855,0.145659825,0.089889797,0.001260007,0.00187015,0.009885982,0.013016,4.152933
3/8/2024,68180.2,3886.04,144.879,0.019593241,0.003706392,0.006125128,1,1,1,0.112700336,0.145096115,0.090825251,0.002201357,0.000539872,0.000550586,0.003292,4.169896
3/9/2024,68360.1,3908.15,144.424,0.002638596,0.005689597,-0.003140552,1,1,1,0.112501094,0.14610551,0.090581596,0.000297371,0.000825538,-0.000285241,0.000838,4.174229
3/10/2024,69001.8,3881.22,144.497,0.009387055,-0.006890728,0.000505456,1,1,1,0.113964004,0.14445741,0.091364667,0.001056054,-0.001006773,4.58E-05,9.50E-05,4.17472
3/11/2024,72153.8,4070.52,149.062,0.045679968,0.048773324,0.031592351,1,1,1,0.11189104,0.140489652,0.090981684,0.005205872,0.007045668,0.002886425,0.015138,4.253055
