date,close,open,signal,position,asset_return,signal_return
2021-01-30,34289.85,34267.04,1.0,1.0,0.0005982021835839735,0.0005982021835839735
2021-01-31,33126.21,34284.76,1.0,1.0,-0.03393540654158589,-0.03393540654158589
2021-02-01,33546.09,33125.11,1.0,1.0,0.01267515963945165,0.01267515963945165
2021-02-02,35504.06,33546.08,1.0,1.0,0.05836656373365723,0.05836656373365723
2021-02-03,37652.51,35504.07,1.0,1.0,0.060512797691306464,0.060512797691306464
2021-02-04,36976.93,37651.92,1.0,1.0,-0.017942495732688246,-0.017942495732688246
2021-02-05,38362.65,36975.19,1.0,1.0,0.03747525822181563,0.03747525822181563
2021-02-06,39249.54,38357.17,0.0,0.5,0.02311858018150459,0.02311858018150459
2021-02-07,38849.25,39249.53,0.0,0.5,-0.010198590862466217,-0.0050992954312331085
2021-02-08,46451.32,38849.24,1.0,1.0,0.19568125510788503,0.09784062755394252
2021-02-09,46492.54,46451.32,1.0,1.0,0.0008873805954277003,0.0008873805954277003
2021-02-10,44850.0,46492.53,1.0,1.0,-0.03532910871292472,-0.03532910871292472
2021-02-11,48060.21,44850.0,1.0,1.0,0.07157658862876248,0.07157658862876248
2021-02-12,47361.03,48060.21,1.0,1.0,-0.014548001350805584,-0.014548001350805584
2021-02-13,47221.62,47364.0,1.0,1.0,-0.002943559293368314,-0.002943559293368314
2021-02-14,48655.21,47221.63,1.0,1.0,0.030358763634114938,0.030358763634114938
2021-02-15,47981.58,48655.21,1.0,1.0,-0.013844971586804311,-0.013844971586804311
2021-02-16,49197.94,47981.6,1.0,1.0,0.02535056161135163,0.02535056161135163
2021-02-17,52194.62,49197.93,1.0,1.0,0.060910680406537354,0.060910680406537354
2021-02-18,51619.7,52194.62,1.0,1.0,-0.011014928358516696,-0.011014928358516696
2021-02-19,56004.1,51612.46,1.0,1.0,0.08493656491610757,0.08493656491610757
2021-02-20,55917.41,56005.85,1.0,1.0,-0.0015479223842539414,-0.0015479223842539414
2021-02-21,57487.43,55908.45,1.0,1.0,0.028077480698766255,0.028077480698766255
2021-02-22,54121.1,57475.5,1.0,1.0,-0.058557670781247295,-0.058557670781247295
2021-02-23,48930.0,54125.55,1.0,1.0,-0.0959163801179207,-0.0959163801179207
2021-02-24,49702.03,48930.01,1.0,1.0,0.015778254649499335,0.015778254649499335
2021-02-25,47089.37,49702.05,1.0,1.0,-0.05256646458907199,-0.05256646458907199
2021-02-26,46313.13,47087.97,1.0,1.0,-0.016484399770054337,-0.016484399770054337
2021-02-27,46102.63,46313.12,1.0,1.0,-0.0045451473480631055,-0.0045451473480631055
2021-02-28,45163.36,46097.09,1.0,1.0,-0.02037345808688129,-0.02037345808688129
2021-03-01,49592.7,45162.64,1.0,1.0,0.09807374827736459,0.09807374827736459
2021-03-02,48450.57,49594.99,1.0,1.0,-0.023030204042127078,-0.023030204042127078
2021-03-03,50373.75,48454.21,1.0,1.0,0.03969365066293329,0.03969365066293329
2021-03-04,48385.77,50373.75,1.0,1.0,-0.03946460209930769,-0.03946460209930769
2021-03-05,48770.57,48385.77,1.0,1.0,0.007952751397776625,0.007952751397776625
2021-03-06,48908.21,48772.68,1.0,1.0,0.0028221937943313513,0.0028221937943313513
2021-03-07,50995.27,48908.21,1.0,1.0,0.0426729990731618,0.0426729990731618
2021-03-08,52429.43,50991.35,1.0,1.0,0.028123392620531318,0.028123392620531318
2021-03-09,54917.78,52429.43,1.0,1.0,0.04746093939987528,0.04746093939987528
2021-03-10,55947.98,54917.78,1.0,1.0,0.018758952018818054,0.018758952018818054
2021-03-11,57844.52,55949.3,1.0,1.0,0.03389827479026031,0.03389827479026031
2021-03-12,57291.03,57842.64,1.0,1.0,-0.00956858143174144,-0.00956858143174144
2021-03-13,61267.41,57291.04,1.0,1.0,0.06940667675201517,0.06940667675201517
2021-03-14,59037.12,61267.41,1.0,1.0,-0.036402550719868865,-0.036402550719868865
2021-03-15,55646.61,59037.11,1.0,1.0,-0.05743013886856274,-0.05743013886856274
2021-03-16,56954.19,55646.61,1.0,1.0,0.023497927367003957,0.023497927367003957
2021-03-17,58959.0,56953.23,1.0,1.0,0.0352003952650366,0.0352003952650366
2021-03-18,57700.01,58959.01,1.0,1.0,-0.021353652538204426,-0.021353652538204426
2021-03-19,58089.11,57700.01,1.0,1.0,0.006743499697833721,0.006743499697833721
2021-03-20,58145.61,58089.11,1.0,1.0,0.0009726435815593515,0.0009726435815593515
2021-03-21,57415.18,58144.44,1.0,1.0,-0.012562083362785303,-0.012562083362785303
2021-03-22,54129.56,57415.19,0.0,0.5,-0.05722563266369629,-0.05722563266369629
2021-03-23,54400.0,54129.56,0.0,0.5,0.00499616106245826,0.00249808053122913
2021-03-24,52311.54,54400.0,0.0,0.5,-0.03839080882352941,-0.019195404411764705
2021-03-25,51325.21,52307.89,1.0,1.0,-0.01885492187765836,-0.00942746093882918
2021-03-26,55030.0,51325.21,1.0,1.0,0.07218265643725563,0.07218265643725563
2021-03-27,55828.0,55030.0,1.0,1.0,0.014501181173905087,0.014501181173905087
2021-03-28,55805.08,55828.0,1.0,1.0,-0.0004105466790856882,-0.0004105466790856882
2021-03-29,57677.64,55804.16,1.0,1.0,0.03355536807760151,0.03355536807760151
2021-03-30,58794.16,57676.14,1.0,1.0,0.019357934894701057,0.019357934894701057
2021-03-31,58807.24,58794.17,1.0,1.0,0.00022247107535844357,0.00022247107535844357
2021-04-01,58794.01,58810.99,1.0,1.0,-0.0002249722993290515,-0.0002249722993290515
2021-04-02,59031.36,58797.56,1.0,1.0,0.004036975875603588,0.004036975875603588
2021-04-03,57134.65,59028.99,1.0,1.0,-0.03213054891501732,-0.03213054891501732
2021-04-04,58234.61,57134.65,1.0,1.0,0.019252065077846714,0.019252065077846714
2021-04-05,59243.39,58234.61,1.0,1.0,0.017322688346328663,0.017322688346328663
2021-04-06,58059.99,59243.4,1.0,1.0,-0.01997522424020637,-0.01997522424020637
2021-04-07,56018.18,58060.0,1.0,1.0,-0.035167246842446875,-0.035167246842446875
2021-04-08,58122.26,56018.17,1.0,1.0,0.037560663341793754,0.037560663341793754
2021-04-09,58176.03,58122.93,1.0,1.0,0.0009251188787220421,0.0009251188787220421
2021-04-10,59832.43,58176.04,1.0,1.0,0.028472207539772088,0.028472207539772088
2021-04-11,60090.2,59832.43,1.0,1.0,0.004308198747736025,0.004308198747736025
2021-04-12,59911.18,60093.26,0.0,0.5,-0.0029791879541088973,-0.0029791879541088973
2021-04-13,63649.71,59911.19,1.0,1.0,0.062401207921459756,0.031200603960729878
2021-04-14,63019.1,63645.05,1.0,1.0,-0.009907507826822815,-0.009907507826822815
2021-04-15,63232.55,63018.34,1.0,1.0,0.003387068364987922,0.003387068364987922
2021-04-16,61424.67,63232.56,1.0,1.0,-0.02859097094771612,-0.02859097094771612
2021-04-17,60090.14,61424.67,1.0,1.0,-0.021726286848590348,-0.021726286848590348
2021-04-18,56140.05,60090.14,0.0,0.5,-0.0657360758354032,-0.0657360758354032
2021-04-19,55634.39,56140.05,0.0,0.5,-0.009007117022517885,-0.004503558511258943
2021-04-20,56410.56,55634.38,0.0,0.5,0.013951262878949544,0.006975631439474772
